2026-03-10 11:26:14.905 INFO  [background-preinit] Version - HV000001: Hibernate Validator 8.0.1.Final
2026-03-10 11:26:15.077 INFO  [main] AuthServiceApplication - Starting AuthServiceApplication using Java 21.0.10 with PID 8052 (D:\FoodDeliveryApp\target\classes started by admin in D:\FoodDeliveryApp)
2026-03-10 11:26:15.100 INFO  [main] AuthServiceApplication - No active profile set, falling back to 1 default profile: "default"
2026-03-10 11:26:19.973 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-10 11:26:19.979 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2026-03-10 11:26:20.465 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 458 ms. Found 1 JPA repository interface.
2026-03-10 11:26:20.515 INFO  [main] RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2026-03-10 11:26:20.517 INFO  [main] RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2026-03-10 11:26:20.556 INFO  [main] RepositoryConfigurationExtensionSupport - Spring Data Redis - Could not safely identify store assignment for repository candidate interface FoodDelivery.auth.Restaurant.RestauarantRepository; If you want this repository to be a Redis repository, consider annotating your entities with one of these annotations: org.springframework.data.redis.core.RedisHash (preferred), or consider extending one of the following types with your repository: org.springframework.data.keyvalue.repository.KeyValueRepository
2026-03-10 11:26:20.556 INFO  [main] RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 11 ms. Found 0 Redis repository interfaces.
2026-03-10 11:26:23.517 INFO  [main] TomcatWebServer - Tomcat initialized with port 8081 (http)
2026-03-10 11:26:23.549 INFO  [main] Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8081"]
2026-03-10 11:26:23.556 INFO  [main] StandardService - Starting service [Tomcat]
2026-03-10 11:26:23.557 INFO  [main] StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.19]
2026-03-10 11:26:23.783 INFO  [main] [/] - Initializing Spring embedded WebApplicationContext
2026-03-10 11:26:23.789 INFO  [main] ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 8461 ms
2026-03-10 11:26:25.095 INFO  [main] LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2026-03-10 11:26:25.692 INFO  [main] Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2026-03-10 11:26:26.281 INFO  [main] RegionFactoryInitiator - HHH000026: Second-level cache disabled
2026-03-10 11:26:29.492 INFO  [main] SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2026-03-10 11:26:30.098 INFO  [main] HikariDataSource - HikariPool-1 - Starting...
2026-03-10 11:26:35.143 INFO  [main] HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@37f627d0
2026-03-10 11:26:35.157 INFO  [main] HikariDataSource - HikariPool-1 - Start completed.
2026-03-10 11:26:35.756 WARN  [main] deprecation - HHH90000025: MySQL8Dialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2026-03-10 11:26:35.765 WARN  [main] deprecation - HHH90000026: MySQL8Dialect has been deprecated; use org.hibernate.dialect.MySQLDialect instead
